縣市,親民黨,國民黨,民進黨,得票數
總　計,608590,5522119,8170231,14300940
臺北市,70769,685830,875854,1632453
新北市,112620,959631,1393936,2466187
桃園市,63132,529749,718260,1311141
臺中市,84800,646366,967304,1698470
臺南市,41075,339702,786471,1167248
高雄市,55309,610896,1097621,1763826
新竹縣,18435,154224,152380,325039
苗栗縣,15222,164345,147034,326601
彰化縣,35060,291835,436336,763231
南投縣,13315,133791,152046,299152
雲林縣,15331,138341,246116,399788
嘉義縣,11138,98810,197342,307290
屏東縣,14021,179353,317676,511050
宜蘭縣,10739,90010,173657,274406
花蓮縣,6869,111834,66509,185212
臺東縣,4163,67413,44092,115668
澎湖縣,2583,20911,27410,50904
基隆市,11878,99360,114966,226204
新竹市,14103,102725,144274,261102
嘉義市,6204,56269,99265,161738
金門縣,1636,35948,10456,48040
連江縣,188,4776,1226,6190
